DEC,HEX,Alpha Tag,Mode,Description,Tag,Group,Priority,Stream List
268,10c,SP WARN 11,D,SP WARN 11,Interop,Special Events,1,
272,110,SP WARN 12,D,SP WARN 12,Interop,Special Events,1,
276,114,SP WARN 13,D,SP WARN 13,Interop,Special Events,1,
284,11c,SP WARN 14,D,SP WARN 14,Interop,Special Events,1,
236,0ec,SP WARN 2,D,SP WARN 2,Interop,Special Events,1,
238,0ee,SP WARN 3,D,SP WARN 3,Interop,Special Events,1,
240,0f0,SP WARN 4,D,SP WARN 4,Interop,Special Events,1,
246,0f6,SP WARN 5,D,SP WARN 5,Interop,Special Events,1,
250,0fa,SP WARN 6,D,SP WARN 6,Interop,Special Events,1,
256,100,SP WARN 7,D,SP WARN 7,Interop,Special Events,1,
260,104,SP WARN 8,D,SP WARN 8,Interop,Special Events,1,
262,106,SP WARN 9,D,SP WARN 9,Interop,Special Events,1,
2160,870,SpldraPD Tac,D,Splendora Police Tactical (dispatched on MCSO 3),Law Tac,Montgomery County - Communities,1,
2156,86c,SplenISD PD1,D,Splendora Independent School District Police Ch. 1,Law Dispatch,Montgomery County - Schools,1,
2158,86e,SplenISD PD2,D,Splendora Independent School District Police Ch. 2,Law Tac,Montgomery County - Schools,1,
31005,791d,SpringValPD1,T,Police 1,Law Dispatch,Harris County - Spring Valley,1,
31006,791e,SpringValPD2,TE,Police 2,Law Tac,Harris County - Spring Valley,1,
38640,96f0,SprISD PD 1,T,Spring Independent School District Police Primary,Law Dispatch,Harris County - Schools,1,
38641,96f1,SprISD PD 2,T,Spring Independent School District Police 2,Law Tac,Harris County - Schools,1,
38642,96f2,SprISD PD Admin,T,Spring Independent School District Police Administration,Law Talk,Harris County - Schools,1,
38643,96f3,SprISD PD Gangs,T,Spring Independent School District Police Gangs,Law Tac,Harris County - Schools,1,
3961,f79,St Joseph Bryan,D,St. Joseph Hospital Bryan,Hospital,Brazos County - Hospitals,1,
3963,f7b,St Joseph CS,D,St. Joseph Hospital College Station,Hospital,Brazos County - Hospitals,1,
3962,f7a,St Joseph Exp ER,D,St. Joseph Express ER,Hospital,Brazos County - Hospitals,1,
2769,ad1,Stfrd Comn,D,Common,Interop,Fort Bend County - Stafford,1,
2759,ac7,Stfrd FD Dsp,D,Fire 1,Fire Dispatch,Fort Bend County - Stafford,1,
2765,acd,Stfrd FD Spr,D,Fire Supervisor,Fire-Talk,Fort Bend County - Stafford,1,
2773,ad5,Stfrd PD 2,D,Police 2,Law Tac,Fort Bend County - Stafford,1,
2775,ad7,Stfrd PD 3,D,Police 3,Law Talk,Fort Bend County - Stafford,1,
2777,ad9,Stfrd PD 4,D,Police 4 Secure,Law Talk,Fort Bend County - Stafford,1,
2781,add,Stfrd PD CID,D,Police CID,Law Talk,Fort Bend County - Stafford,1,
2771,ad3,Stfrd PD Dsp,T,Police 1,Law Dispatch,Fort Bend County - Stafford,1,
2783,adf,Stfrd PD Spr,D,Police Supervisors,Law Talk,Fort Bend County - Stafford,1,
2785,ae1,Stfrd PDTac1,D,Police Tactical 1,Law Tac,Fort Bend County - Stafford,1,
2761,ac9,StfrdFD Tac1,D,Fire Tactical 1,Fire-Tac,Fort Bend County - Stafford,1,
2763,acb,StfrdFD Tac2,D,Fire Tactical 2,Fire-Tac,Fort Bend County - Stafford,1,
2767,acf,StfrdFD Tac3,D,Fire Tactical 3,Fire-Tac,Fort Bend County - Stafford,1,
1506,5E+02,Surfside EMS,D,EMS,EMS Dispatch,Brazoria County - Surfside,1,
1550,60e,Surfside FD,D,Fire,Fire Dispatch,Brazoria County - Surfside,1,
1593,639,Surfside PD,D,Police,Law Dispatch,Brazoria County - Surfside,1,
1508,5E+04,Sweeny EMS Disp,D,EMS Dispatch,EMS Dispatch,Brazoria County - Sweeny,1,
1545,609,Sweeny Fire Disp,D,Fire Dispatch,Multi-Dispatch,Brazoria County - Sweeny,1,
1566,61e,Sweeny Hospital,D,EMS to Sweeny Hospital,Hospital,Brazoria County - Sweeny,1,
1543,607,Sweeny PD 2,D,Police Ch 2,Law Tac,Brazoria County - Sweeny,1,
1541,605,Sweeny PD Disp,D,Police Ch 1 Dispatch,Law Dispatch,Brazoria County - Sweeny,1,
1553,611,Sweeny PD MA,D,Police Mutual Aid,Law Tac,Brazoria County - Sweeny,1,
1547,60b,Sweeny Pub Works,D,Public Works,Public Works,Brazoria County - Sweeny,1,
33000,8E+09,TABC 1,TE,Houston Area - Ch. 1,Law Tac,Texas Alcoholic Beverage Commission,1,
32004,7d04,TABC DA BUG,T,Houston Area - DA BUG,Law Tac,Texas Alcoholic Beverage Commission,1,
107,06b,TABC Harris,D,Harris County Dispatch 1,Law Tac,Texas Alcoholic Beverage Commission,1,
32001,7d01,TABC Mobiles,T,Houston Area - Mobiles,Law Talk,Texas Alcoholic Beverage Commission,1,
32002,7d02,TABC SRT 1,T,Houston Area - Special Response Team 1,Law Tac,Texas Alcoholic Beverage Commission,1,
32003,7d03,TABC SRT 2,T,Houston Area - Special Response Team 2,Law Tac,Texas Alcoholic Beverage Commission,1,
32005,7d05,TABC UC-1,T,Houston Area - UC-1,Law Tac,Texas Alcoholic Beverage Commission,1,
32006,7d06,TABC UC-2,T,Houston Area - UC-2,Law Tac,Texas Alcoholic Beverage Commission,1,
32007,7d07,TABC UC-3,T,Houston Area - UC-3,Law Tac,Texas Alcoholic Beverage Commission,1,
32008,7d08,TABC UC-4,T,Houston Area - UC-4,Law Tac,Texas Alcoholic Beverage Commission,1,
2764,acc,TAG Hou 1,D,Houston area Ch. 1,Law Tac,Texas Anti-Gang,1,
2766,ace,TAG Hou 2,D,Houston area Ch. 2,Law Tac,Texas Anti-Gang,1,
2768,ad0,TAG Hou 3,D,Houston area Ch. 3,Law Tac,Texas Anti-Gang,1,
2770,ad2,TAG Hou 4,D,Houston area Ch. 4,Law Tac,Texas Anti-Gang,1,
2772,ad4,TAG Hou 5,D,Houston area Ch. 5,Law Tac,Texas Anti-Gang,1,
2774,ad6,TAG Hou 6,T,Houston area Ch. 6,Law Tac,Texas Anti-Gang,1,
2776,ad8,TAG Hou 7,DE,Houston area Ch. 7,Law Tac,Texas Anti-Gang,1,
2778,ada,TAG Hou 8,DE,Houston area Ch. 8,Law Tac,Texas Anti-Gang,1,
2407,967,TAG Houston,DE,Houston area,Law Tac,Texas Anti-Gang,1,
3958,f76,TAMU Co-op,D,Co-op,Schools,Texas A&M University (College Station),1,
3943,f67,TAMU EMS 1,D,EMS 1 Primary,EMS Dispatch,Texas A&M University (College Station),1,
3944,f68,TAMU EMS 2,D,EMS 2,EMS-Tac,Texas A&M University (College Station),1,
3947,f6b,TAMU EMS 3,D,EMS 3,EMS-Tac,Texas A&M University (College Station),1,
3945,f69,TAMU EMS S1,D,EMS S1,EMS-Talk,Texas A&M University (College Station),1,
3946,f6a,TAMU EMS S2,D,EMS S2,EMS-Talk,Texas A&M University (College Station),1,
2394,95a,TAMU EMS S3,D,EMS S3,EMS-Talk,Texas A&M University (College Station),1,
3959,f77,TAMU Event 1,D,Events 1,Schools,Texas A&M University (College Station),1,
3960,f78,TAMU Event 2,D,Events 2,Schools,Texas A&M University (College Station),1,
3527,dc7,TAMU Galv PD 1,T,Police 1,Law Dispatch,Texas A&M University (Galveston),1,
3430,d66,TAMU Galv PD 2,D,Police 2,Law Talk,Texas A&M University (Galveston),1,
3442,d72,TAMU Galv RA,D,Resident Advisor,Schools,Texas A&M University (Galveston),1,
4036,fc4,TAMU Health,D,Health and Safety,Schools,Texas A&M University (College Station),1,
1002,3ea,TAMU NETCOM,D,NETCOM,Schools,Texas A&M University (College Station),1,
3948,f6c,TAMU PD 1,D,Police Primary,Law Dispatch,Texas A&M University (College Station),1,
3949,f6d,TAMU PD 2 Sec,D,Police 2 Security Officers,Security,Texas A&M University (College Station),1,
3956,f74,TAMU PD CID,D,Police CID,Law Tac,Texas A&M University (College Station),1,
3950,f6e,TAMU PD Evt 1,D,Police Events 1,Law Tac,Texas A&M University (College Station),1,
3951,f6f,TAMU PD Evt 2,D,Police Events 2,Law Tac,Texas A&M University (College Station),1,
3952,f70,TAMU PD Evt 3,D,Police Events 3,Law Tac,Texas A&M University (College Station),1,
3953,f71,TAMU PD Tac 1,D,Police Tactical 1,Law Tac,Texas A&M University (College Station),1,
3954,f72,TAMU PD Tac 2,D,Police Tactical 2,Law Tac,Texas A&M University (College Station),1,
